Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338234,4.049030997,3.414321195,4.552272337,4.626085188,3.597281433,4.004066804,3.232322007,4.938117205
10338235,4.87217012,4.6940647,5.489270025,5.027846272,4.962554481,4.6126005,4.876636054,5.589477215
10338236,4.744994612,3.666648569,4.702130293,4.279678609,4.754695403,4.16996277,3.755386487,4.814888877
10338237,6.333151463,6.657187017,6.981319914,5.9395795,6.321179128,6.084382234,6.699972993,6.172963742
10338238,5.864614263,4.973719288,5.471503218,4.320275488,4.800869925,5.12789012,5.072844827,5.615710366
10338239,5.818609918,5.269758754,6.10168384,5.289916451,5.817469694,4.996703891,5.353371225,4.275202988
10338240,3.544486835,3.062577909,2.456954339,3.799095138,2.815529689,2.941832964,2.194901878,3.445046873
10338241,3.439827801,2.758016726,3.307963079,4.004200068,3.241735908,3.957620331,3.050156188,3.058148688
10338242,3.557839474,3.840354279,3.82283849,2.880902497,2.914660742,2.88092698,3.200916066,2.605130087
10338243,6.715656044,5.187191363,6.575890002,5.263813641,4.647946602,6.457496744,5.015899145,5.339309038
10338244,8.923316697,9.087454176,8.625898354,8.706066283,9.177037416,8.993623793,9.19517464,8.901802296
10338245,1.833671,2.142038283,2.378083036,1.830397053,1.98462868,2.117145389,1.838342466,2.306893761
10338246,5.095705861,4.021269951,4.99040179,5.180243054,4.78669292,4.09004836,4.680383656,4.789381657
10338247,4.51623874,4.498142816,4.753277075,3.643759231,4.342042206,4.167783956,4.345964646,4.624210877
10338248,2.503531594,2.238946151,2.486470831,2.581602021,2.319157783,2.101864774,2.225896287,2.375988685
10338249,6.57624062,6.512557134,6.366916183,6.170386044,6.561234306,6.463391841,7.04717163,6.479013149
10338250,7.08505483,6.804430385,6.858676031,6.293154436,6.637351709,6.260179838,6.439177477,6.368911335
10338251,5.021072017,4.849549101,4.708944785,4.836143551,4.428339915,4.282149747,4.101705469,5.04965496
10338252,2.349390108,2.510724098,2.383074038,2.339020937,2.717084232,2.586654686,2.559643159,2.585029048
10338253,4.790315899,4.381310503,4.562481303,4.035973048,4.327046683,4.720071471,4.66556967,4.90825544
10338254,8.499851548,8.556434194,8.332635526,8.09407727,8.447125272,8.535762829,8.529691209,8.35686455
10338255,2.47822691,2.58818183,3.303799351,2.389373712,2.281373253,3.024166928,2.343253454,3.901342477
10338256,3.620542664,3.273634883,2.358333379,2.542286893,2.182366035,2.151115834,2.167184283,3.008028641
10338257,5.817726626,5.203319283,6.462156785,5.330502182,6.213309739,6.705985422,5.916752936,6.31449745
